Date,Prob_Bull,Prob_Sideways,Prob_Correction,Prob_Crisis
2007-04-30,0.9999999775507272,2.2449272748730134e-08,3.062789182612651e-49,1.559140743472403e-66
2007-05-31,0.9949984047783009,0.004951668429271711,4.9848097577138726e-05,7.869485018044256e-08
2007-06-30,0.8027811154681871,0.19644624174293454,0.0007701790697867956,2.4637190914837957e-06
2007-07-31,0.6022241512874297,0.38067013291680013,0.017031243193760974,7.44726020093232e-05
2007-08-31,0.6482643730753129,0.3159750399410614,0.03566016073167522,0.00010042625195042117
2007-09-30,0.6460673368065387,0.32063070641985103,0.033199730768424536,0.00010222600518566056
2007-10-31,0.7258071961758845,0.24133597443543894,0.032768257531383835,8.85718572927292e-05
2007-11-30,0.510969071818934,0.38174624920958317,0.10662738112221057,0.0006572978492722122
2007-12-31,0.38476142784320505,0.3786654297676755,0.2356597493678452,0.00091339302127425
2008-01-31,0.26943672279515113,0.26924851608256467,0.45939091099158563,0.00192385013069867
2008-02-29,0.18865878957387525,0.18864020044822902,0.6205282750503126,0.0021727349275831014
2008-03-31,0.13246445736764023,0.13278024591399873,0.7323212693808988,0.0024340273374622743
2008-04-30,0.09482096536006501,0.10969429625779088,0.7901448994978306,0.005339838884313566
2008-05-31,0.08425485654469199,0.12054125316426977,0.7781512619733757,0.01705262831766257
2008-06-30,0.05897839958136999,0.08563860368598834,0.630148646134535,0.2252343505981066
2008-07-31,0.04128509112624836,0.06248349380541522,0.5505392528633343,0.3456921622050021
2008-08-31,0.02890018016236292,0.04722751060237844,0.4774194823705139,0.44645282686474475
2008-09-30,0.020230126113654046,0.033059257421715366,0.35208209609657737,0.5946285203680532
2008-10-31,0.014161088279557829,0.023141480195200747,0.24646011466126266,0.7162373168639787
2008-11-30,0.00991276179569048,0.016199036136640522,0.1813068832560039,0.7925813188116652
2008-12-31,0.006938933256983336,0.011339325295648364,0.12716520634922973,0.8545565350981386
2009-01-31,0.0048572532798883345,0.007937527706953855,0.09589265895784412,0.8913125600553137
2009-02-28,0.0034000772959218344,0.0055562693948676975,0.068364917988119,0.9226787353210915
2009-03-31,0.002380054107145284,0.003889388576407388,0.04785673076801622,0.9458738265484311
2009-04-30,0.0016660378750016985,0.0027225720034851713,0.03350110192422696,0.9621102881972862
2009-05-31,0.0011662270682767692,0.0019058009991542383,0.2955468142401327,0.7013811576924363
2009-06-30,0.000816382118907002,0.0013582665315592587,0.49310466908760503,0.5047206822619288
2009-07-31,0.0005714677103711703,0.0009508420165555562,0.6397659350605932,0.3587117552124801
2009-08-31,0.00040051343465780006,0.000669203088296279,0.745882661986925,0.2530476214901209
2009-09-30,0.00028546094396835213,0.0004709998074820673,0.8214223331081034,0.1778212061404461
2009-10-31,0.00019983444286607156,0.0003297667338065449,0.8737830392146856,0.1256873596086418
2009-11-30,0.00013993762011728592,0.00023885591621254838,0.9088420796412326,0.09077912682243754
2009-12-31,0.00015072947645526337,0.005387158589377147,0.9281819759185622,0.06628013601560538
2010-01-31,0.0001057569730035169,0.0099338346748723,0.9372307223963912,0.052729685955733054
2010-02-28,0.0008563889966280498,0.027207434274739036,0.9316089641285593,0.04032721260007365
2010-03-31,0.000611722888263661,0.03141497093883851,0.9268665593058957,0.041106746867002275
2010-04-30,0.0054568589041757215,0.026402926762794703,0.9176565637220396,0.0504836506109899
2010-05-31,0.003819801232923008,0.018482120105028168,0.6706132454126498,0.30708483324939906
2010-06-30,0.0026738608630479457,0.012937484357732709,0.49961271636726284,0.48477593841195654
2010-07-31,0.0018717026041335694,0.009056274318653976,0.3511085739890386,0.6379634490881738
2010-08-31,0.0013101918230229404,0.006363332078831432,0.24807425236403585,0.7442522237341097
2010-09-30,0.0009171342761160643,0.004454338876808989,0.1774763988781325,0.8171521279689424
