Date,Regime,Prob_Bull,Prob_Uncertain,Prob_Crisis,Returns,NFCI,Correlation
2008-01-31,2,5.653149502961438e-288,2.417718024892155e-250,1.0,-0.062366036297893016,0.40973,-0.5540939959277824
2008-02-29,2,1.884574943895704e-165,1.5551026791891345e-195,1.0,-0.026182817307065183,0.78543,-0.4761691708142669
2008-03-31,2,7.941213263996897e-190,1.325130011956757e-215,1.0,-0.008982560505316215,0.94269,-0.4629451470213679
2008-04-30,2,0.0,0.0,1.0,0.04656171029382518,0.64795,-0.6117114595211197
2008-05-31,2,9.71942642451788e-291,4.1661838043237114e-265,1.0,0.015003682908370052,0.50185,-0.5672931598170885
2008-06-30,2,4.3645034585637135e-153,9.129433189348052e-183,1.0,-0.0872764454301693,0.71057,-0.6014851294438569
2008-07-31,2,8.424760894599451e-160,2.7382103019813696e-191,1.0,-0.009026205203521187,0.71398,-0.5819562865268189
2008-08-31,2,2.0121689859377885e-177,3.313307405358963e-204,1.0,0.015335771515038553,0.83798,-0.5410419529857352
2008-09-30,2,0.0,0.0,1.0,-0.09890842595302299,1.79243,-0.49759851134486854
2008-10-31,2,0.0,0.0,1.0,-0.1805470155904913,2.78097,-0.11956737809115332
2008-11-30,2,0.0,0.0,1.0,-0.07214712147469164,3.05715,-0.20647214356498167
2008-12-31,2,0.0,0.0,1.0,0.00974834955630126,2.70217,-0.0023217688193916245
2009-01-31,2,0.0,3.5005065544747135e-31,1.0,-0.08568234448099941,2.12379,0.1425158503493501
2009-02-28,2,0.0,2.331941462314507e-54,1.0,-0.11367150913137998,2.12801,0.17397469033087024
2009-03-31,2,0.0,1.7514195371718192e-51,1.0,0.08002198201799601,1.91751,0.20544960859834904
2009-04-30,2,5.562996718896797e-228,1.52073358686568e-34,1.0,0.0947154752689499,1.37284,0.06804381691649675
2009-05-31,2,0.0,0.0,1.0,0.056809057838648064,0.86951,0.032046883449510614
2009-06-30,2,4.253952212240904e-146,1.5007381046552251e-62,1.0,-0.0006556722950133753,0.72012,0.04983650968131001
2009-07-31,2,1.5728847273828065e-126,7.147183331211937e-19,1.0,0.0719543230017521,0.41318,0.049079759891968056
2009-08-31,2,2.270986129512666e-104,8.811577105132981e-75,1.0,0.036273592751531816,0.22795,0.05098673395465742
2009-09-30,2,8.872427735160799e-100,7.834827168966576e-80,1.0,0.03484283847005467,0.10115,0.07440294581532617
2009-10-31,2,5.935163358333058e-100,7.316032613112569e-84,1.0,-0.019412650447332196,0.02031,0.02752043579321514
2009-11-30,2,3.5203912856828695e-101,2.278740579593775e-93,1.0,0.059783657906817285,-0.03268,0.29127441493513645
2009-12-31,2,3.918342501852627e-104,4.309635624877145e-105,1.0,0.0189206866745447,-0.15131,0.401982337209539
2010-01-31,2,1.331989147700181e-83,3.305649124816169e-41,1.0,-0.03701871772211206,-0.2006,-0.04602603231554013
2010-02-28,2,3.422473530385733e-83,2.894395088933063e-75,1.0,0.03071772344402193,-0.24544,-0.14991834272649987
2010-03-31,2,7.992598854717633e-20,5.950795252434687e-32,1.0,0.05909820060314415,-0.41778,-0.3411106398906994
2010-04-30,2,8.134288127744789e-57,1.8174748210340147e-55,1.0,0.01535181978090266,-0.35197,-0.11527337343885194
2010-05-31,2,2.830015008939942e-87,7.98962629720152e-50,1.0,-0.08278875864006487,-0.07047,-0.3195611317438801
2010-06-30,2,3.076664514208276e-147,2.435321004323961e-125,1.0,-0.05312762234041761,-0.0725,-0.4403757658631259
2010-07-31,2,4.5140581105959614e-123,1.9501165832364035e-99,1.0,0.06606912240404662,-0.24711,-0.4852268826590697
2010-08-31,2,5.088663586454238e-56,1.0050895683404901e-66,1.0,-0.04602368365390995,-0.26998,-0.582961662000237
2010-09-30,1,2.531582948262463e-08,0.9999623017667114,3.7672917457003416e-05,0.08576948590251694,-0.33296,-0.6462449278279611
2010-10-31,1,0.00014255251540695512,0.9998573946101584,5.2874442995199606e-08,0.03749051612868509,-0.43316,-0.7157253194860194
2010-11-30,1,0.00027170146667822493,0.9997110113603064,1.728717302639873e-05,0.0,-0.45043,-0.7360598264305677
2010-12-31,1,0.00021033559937182862,0.9997896615787759,2.8218389141592616e-09,0.06471212240853513,-0.5239,-0.8329401549662854
2011-01-31,1,0.005849701719658366,0.9941489662946812,1.3319856734182788e-06,0.023033189480659393,-0.59496,-0.8147957049451977
2011-02-28,0,0.9966813824645036,0.0033169977896746177,1.6197458150824106e-06,0.03414726320012552,-0.57361,-0.7975627516433375
2011-03-31,0,0.9977585644524289,0.00223972401481337,1.711532745062386e-06,0.00012028420941226512,-0.54882,-0.7835281507554673
2011-04-30,0,0.9951492912248528,0.00484886571064303,1.843064515960125e-06,0.02854976211548705,-0.60057,-0.7804597755525288
2011-05-31,0,0.9980697164115541,0.001928150626902561,2.1329615477632424e-06,-0.011277674700818117,-0.56185,-0.7713334054829616
2011-06-30,0,0.9973409816641285,0.00260148757237063,5.7530763493076215e-05,-0.017013817351634528,-0.5203,-0.6075279788686898
2011-07-31,0,0.9999670816112788,5.695580015830872e-06,2.7222808705071873e-05,-0.020207271520249655,-0.39539,-0.6661536775942011
2011-08-31,0,0.9999998733054634,1.7657989601923355e-15,1.2669453668294868e-07,-0.056544632476475835,-0.13793,-0.6969429777066096
2011-09-30,0,0.9999897773485725,7.049298856370135e-23,1.0222651414616301e-05,-0.07194808418540954,-0.03897,-0.8204745620666268
2011-10-31,2,1.8466505928839278e-05,2.4887605566217547e-25,0.9999815334940712,0.10359143228438472,-0.10455,-0.796481475574074
