date,SPY,QQQ,XLV,XLP,XLE,TLT,IEF,GLD,VNQ,BIL
2016-07-31,0.2878305,0.2214618,3.09813e-05,0.13450028,4.1718062e-07,0.116359025,0.2288869,7.2615135e-06,0.0,0.010922787
2016-08-31,0.41161862,0.03841515,0.112405844,1.9172803e-05,0.0,0.06250138,0.3673938,0.0,0.0,0.007646011
2016-09-30,0.3129494,0.018515002,0.13019216,0.0,0.118702784,0.21444763,0.14006516,0.05977541,2.3653146e-07,0.0053522764
2016-10-31,0.4068772,4.4678136e-06,0.0,0.009697052,0.15371679,0.27833918,8.816638e-07,0.07659457,0.071023196,0.003746704
2016-11-30,0.49441704,0.014803347,6.2282475e-06,0.06253712,0.0,0.08715726,0.0,0.025495145,0.1134856,0.2020983
2016-12-31,0.45421937,0.014184529,0.0,0.0,0.15780818,0.0,0.15508159,0.051446106,0.07228475,0.09497549
2017-01-31,0.22882074,0.18391567,0.020397173,0.09648796,0.098177135,0.069596544,0.0,0.30131483,4.6602527e-06,0.0012852842
2017-02-28,0.23516527,0.12642576,1.0993523e-06,0.14685254,0.27398795,0.0,1.787953e-05,0.21663585,1.390921e-05,0.00089974
2017-03-31,0.37613097,0.029185122,0.0,0.12308253,0.19055176,0.0,5.6038772e-08,0.26806676,0.01235287,0.0006298925
2017-04-30,0.0,0.0,0.0,0.29582408,0.16042893,0.0,4.213236e-06,0.39300025,0.15030152,0.00044103476
2017-05-31,0.15934803,0.027588718,0.0,0.2810273,9.28431e-05,7.986233e-07,3.3745484e-05,0.37645143,0.15514843,0.00030879164
2017-06-30,0.35553008,0.06797429,5.114715e-06,0.23369096,0.0,3.459321e-06,0.0,0.2773894,0.0651904,0.00021621988
2017-07-31,0.31365776,1.4455242e-06,1.5518532e-06,0.32662758,0.09901809,0.0,0.0,0.26053074,1.1355728e-05,0.00015141473
2017-08-31,0.34226528,0.0,0.0,0.33876067,0.12141296,0.0,3.2384332e-07,0.190089,0.0073656584,0.000106084604
2017-09-30,0.35909945,3.0072772e-07,2.6375444e-06,0.38007945,0.089372,2.999949e-06,2.6483224e-06,0.17136419,2.0448538e-06,7.4350246e-05
2017-10-31,0.29686144,0.0,0.0,0.10369445,0.59933984,0.0,0.0,5.2163672e-05,0.0,5.2109015e-05
2017-11-30,0.22671995,0.0,0.0,0.26825875,0.18769804,0.0,0.0,0.14393881,0.0,0.17338437
2017-12-31,0.24198748,0.0,0.0,0.27394065,0.42896464,0.0,0.0,0.055081543,0.0,2.5622301e-05
