date,return
2016-07-31,0.02825337688354112
2016-08-31,-0.007100282933580915
2016-09-30,0.0016533703821631758
2016-10-31,-0.029986559353928542
2016-11-30,0.004369320655886353
2016-12-31,0.014433723037792473
2017-01-31,0.0293993050669154
2017-02-28,0.022967805368589885
2017-03-31,-0.003736197342782948
2017-04-30,0.005674582586097695
2017-05-31,0.00916478330702748
2017-06-30,-0.009098578549355018
2017-07-31,0.017325764188723832
2017-08-31,-0.0014264522457508638
2017-09-30,0.007843290568009533
2017-10-31,0.00029652230282686674
2017-11-30,0.02578347706230183
2017-12-31,0.03287053650492673
