date,SPY,QQQ,XLV,XLP,XLE,TLT,IEF,GLD,VNQ,BIL
2016-07-31,0.2878305,0.2214618,3.09813e-05,0.13450028,4.1718062e-07,0.116359025,0.2288869,7.2615135e-06,0.0,0.010922787
2016-08-31,0.41161862,0.03841515,0.112405844,1.9172803e-05,0.0,0.06250138,0.3673938,0.0,0.0,0.007646011
2016-09-30,0.3129494,0.018515002,0.13019216,0.0,0.118702784,0.21444763,0.14006516,0.05977541,2.3653146e-07,0.0053522764
2016-10-31,0.4068772,4.4678136e-06,0.0,0.009697052,0.15371679,0.27833918,8.816638e-07,0.07659457,0.071023196,0.003746704
2016-11-30,0.6180213,0.018504184,7.785309e-06,0.078171395,0.0,0.10894657,0.0,0.03186893,0.141857,0.0026228172
2016-12-31,0.50096476,0.015644312,0.0,0.0,0.17404881,0.0,0.17104161,0.056740616,0.07972384,0.001836064
2017-01-31,0.22882076,0.18391569,0.020397175,0.09648797,0.09817714,0.06959655,0.0,0.30131486,4.660253e-06,0.0012852843
2017-02-28,0.23516527,0.12642576,1.0993523e-06,0.14685254,0.27398795,0.0,1.787953e-05,0.21663585,1.390921e-05,0.00089974
2017-03-31,0.37613097,0.029185122,0.0,0.12308253,0.19055176,0.0,5.6038772e-08,0.26806676,0.01235287,0.0006298925
2017-04-30,0.0,0.0,0.0,0.29582408,0.16042893,0.0,4.213236e-06,0.39300025,0.15030152,0.00044103476
2017-05-31,0.15934801,0.027588716,0.0,0.28102726,9.2843096e-05,7.9862326e-07,3.374548e-05,0.3764514,0.15514842,0.0003087916
2017-06-30,0.3555301,0.0679743,5.1147153e-06,0.23369099,0.0,3.4593215e-06,0.0,0.27738944,0.065190405,0.00021621991
2017-07-31,0.3136578,1.4455244e-06,1.5518534e-06,0.3266276,0.099018104,0.0,0.0,0.26053077,1.1355729e-05,0.00015141474
2017-08-31,0.34226528,0.0,0.0,0.33876067,0.12141296,0.0,3.2384332e-07,0.190089,0.0073656584,0.000106084604
2017-09-30,0.35909942,3.007277e-07,2.6375442e-06,0.38007942,0.089371994,2.9999487e-06,2.6483222e-06,0.17136417,2.0448535e-06,7.435024e-05
2017-10-31,0.29686144,0.0,0.0,0.10369445,0.59933984,0.0,0.0,5.2163672e-05,0.0,5.2109015e-05
2017-11-30,0.22671998,0.0,0.0,0.26825878,0.18769807,0.0,0.0,0.14393882,0.0,0.17338438
2017-12-31,0.24198748,0.0,0.0,0.27394065,0.42896464,0.0,0.0,0.055081543,0.0,2.5622301e-05
