fold,test_start,test_end,n_months,sharpe,annual_return,mdd,triple
1,2016-07-31,2016-12-31,6,0.37170818669843503,0.023245897343747334,-0.03528152511219482,False
2,2017-01-31,2017-06-30,6,2.3058083723815903,0.10874340087298501,-0.009098578549355049,True
3,2017-07-31,2017-12-31,6,3.7560844884992406,0.16538627676207585,-0.001426452245750964,True
