date,return
2016-07-31,0.021833147918722352
2016-08-31,-0.010975333686606088
2016-09-30,0.0010167710789635747
2016-10-31,-0.029007403243364534
2016-11-30,-0.006725305809273865
2016-12-31,0.009398150068815683
2017-01-31,0.014508516350003192
2017-02-28,0.026345210852111733
2017-03-31,-0.003938146822862089
2017-04-30,0.007473003270733492
2017-05-31,0.007665972517581117
2017-06-30,0.00037486689033243686
2017-07-31,0.015297327309454536
2017-08-31,0.0048062884571562405
2017-09-30,0.006551736280157832
2017-10-31,0.0031987922464943802
2017-11-30,0.019956944451723583
2017-12-31,0.012264155536848164
2018-01-31,0.023440011581952604
2018-02-28,-0.0412040187955775
2018-03-31,-0.015810055177269976
2018-04-30,0.007984533559595792
2018-05-31,0.012157013581574453
2018-06-30,0.008766583826414943
2018-07-31,0.014388466056002757
2018-08-31,0.012468247870190286
2018-09-30,0.0010761711050858947
2018-10-31,-0.03815371229275423
2018-11-30,0.03799904850012997
2018-12-31,-0.06413946441415805
2019-01-31,0.04717580743905511
2019-02-28,0.010146468780100728
2019-03-31,0.013417715911607626
2019-04-30,0.0007063378510644841
2019-05-31,-0.017470440453459347
2019-06-30,0.04452408890777419
2019-07-31,-0.00019760377637081852
2019-08-31,0.010071189696713154
2019-09-30,0.004124899201938368
2019-10-31,0.01169223184686226
2019-11-30,0.01228983599904675
2019-12-31,0.02068601424266655
2020-01-31,-0.0003769264080097671
2020-02-29,-0.04640336815446865
2020-03-31,-0.049638849743263616
2020-04-30,0.1175756555222962
2020-05-31,0.03178068347826268
2020-06-30,-0.015213705291126369
2020-07-31,0.04846008142735167
2020-08-31,0.020444522386600515
2020-09-30,-0.030107866659366662
2020-10-31,-0.032067075560812126
2020-11-30,0.07565110171325855
2020-12-31,0.036273403421319475
2021-01-31,0.0037957634265756972
2021-02-28,0.0013896584951014427
2021-03-31,0.025105164252852873
2021-04-30,0.03674218075894043
2021-05-31,0.018441102729816576
2021-06-30,0.017685480408622372
2021-07-31,0.013944003022829776
2021-08-31,0.012134605357760272
2021-09-30,-0.023389070453341057
2021-10-31,0.05629845488204237
2021-11-30,-0.01566883797207315
2021-12-31,0.052176407677562375
2022-01-31,-0.015880614221296135
2022-02-28,0.002122165611414233
2022-03-31,0.033397457853624093
2022-04-30,-0.0458646940959807
2022-05-31,0.015174738624893557
2022-06-30,-0.036364695138005165
2022-07-31,0.035512595327070406
2022-08-31,-0.05209812428701001
2022-09-30,-0.029484982700447346
2022-10-31,0.09502629317309566
2022-11-30,0.04679363434625727
2022-12-31,-0.019544674849468684
2023-01-31,-0.012252187657699073
2023-02-28,-0.04441881758706144
2023-03-31,0.02304234060855648
2023-04-30,0.025007450774293234
2023-05-31,-0.03508334741589701
2023-06-30,0.03487773445137796
2023-07-31,0.01739418134751836
2023-08-31,-0.0042165371125632905
2023-09-30,-0.015825879991195835
2023-10-31,-0.008284205887111075
2023-11-30,0.02758406005553508
2023-12-31,0.018844447430961184
