risk_type,val_loss,sharpe,annual_return,mdd
std,0.5981468558311462,0.4431500270729349,4.055785,16.641754
downside_deviation,0.2930489778518677,0.40401641403740807,3.6446817,17.637785
cvar,1.0784130096435547,0.4090323517370804,3.681335,16.55576
