date,return
2016-07-31,0.02112654616959069
2016-08-31,-0.011238396635297096
2016-09-30,0.0009007957724619237
2016-10-31,-0.02899077858077307
2016-11-30,-0.006950183573719977
2016-12-31,0.009345698587603365
2017-01-31,0.014532890968133722
2017-02-28,0.026314689408599847
2017-03-31,-0.003935302962586663
2017-04-30,0.007439404508522873
2017-05-31,0.0076458288950883805
2017-06-30,0.0003605087642822623
2017-07-31,0.015302158077998613
2017-08-31,0.004814123106388939
2017-09-30,0.006437359196885082
2017-10-31,0.003192558038988234
2017-11-30,0.019876609274991443
2017-12-31,0.012242842554958364
2018-01-31,0.023399469104512807
2018-02-28,-0.041152883103943244
2018-03-31,-0.01574849691327023
2018-04-30,0.007915495920811476
2018-05-31,0.012130279673846915
2018-06-30,0.008613703084258262
2018-07-31,0.015128351805939062
2018-08-31,0.0127312629913718
2018-09-30,0.0015224309198492987
2018-10-31,-0.03844893782965354
2018-11-30,0.03901278901516379
2018-12-31,-0.06548831241448463
2019-01-31,0.04754145003392745
2019-02-28,0.01022852661131316
2019-03-31,0.013227069471256552
2019-04-30,0.0007783702357814061
2019-05-31,-0.01749362874043025
2019-06-30,0.04395318014026302
2019-07-31,-0.0005320050196045362
2019-08-31,0.013222779122900326
2019-09-30,0.00042565311705746584
2019-10-31,0.01077943427277006
2019-11-30,0.00694055746442282
2019-12-31,0.01405927534645305
2020-01-31,0.00580958495028737
2020-02-29,-0.036118917970637876
2020-03-31,-0.04235635208751497
2020-04-30,0.11082981229948256
2020-05-31,0.03078026077564558
2020-06-30,-0.013571800119477968
2020-07-31,0.047438689197552134
2020-08-31,0.01898005325312981
2020-09-30,-0.029493845556687298
2020-10-31,-0.027746108176074827
2020-11-30,0.07531490022205369
2020-12-31,0.03624157002440195
2021-01-31,0.0037098654670400712
2021-02-28,0.0012519765513853568
2021-03-31,0.025427574117808813
2021-04-30,0.03668173748965476
2021-05-31,0.018461860978666006
2021-06-30,0.018214979718251815
2021-07-31,0.013405235493860173
2021-08-31,0.012212277672206479
2021-09-30,-0.022647747905195796
2021-10-31,0.05697977704116588
2021-11-30,-0.015949623853432834
2021-12-31,0.0528066717185898
2022-01-31,-0.016772382056251936
2022-02-28,0.0017642703886357838
2022-03-31,0.03366366627046787
2022-04-30,-0.045844182730364155
2022-05-31,0.015090159874295508
2022-06-30,-0.036368792990414206
2022-07-31,0.0353435901649159
2022-08-31,-0.05204309826515685
2022-09-30,-0.02937054351401957
2022-10-31,0.094671198617101
2022-11-30,0.046751616041885186
2022-12-31,-0.019318420131594335
2023-01-31,-0.012382440397976664
2023-02-28,-0.04320298020252139
2023-03-31,0.022699444907468214
2023-04-30,0.023392265012242744
2023-05-31,-0.030786525608649945
2023-06-30,0.026904557647606502
2023-07-31,0.013737600846061484
2023-08-31,-0.0027685630998374976
2023-09-30,-0.011222378273219206
2023-10-31,-0.003705627468269889
2023-11-30,0.023932749253127838
2023-12-31,0.017252624429315817
