date,FF-5Factor Prior
2016-07-31,0.023380205512733086
2016-08-31,-0.009537032171256205
2016-09-30,0.0021027726592041905
2016-10-31,-0.028442128872156316
2016-11-30,-0.007610278382833008
2016-12-31,0.01316456284433479
2017-01-31,0.01459600507510803
2017-02-28,0.02866939905014831
2017-03-31,-0.003583910909858703
2017-04-30,0.00821640599219348
2017-05-31,0.0077804986516380095
2017-06-30,0.0012803517340021966
2017-07-31,0.014913186480595794
2017-08-31,0.0049610451252582845
2017-09-30,0.006974127526793521
2017-10-31,0.002787217073949991
2017-11-30,0.02118512298212343
2017-12-31,0.012937026961166106
2018-01-31,0.0238790763812321
2018-02-28,-0.0442760383606646
2018-03-31,-0.002417507446151497
2018-04-30,0.004820765338436442
2018-05-31,0.01643128913122827
2018-06-30,0.012226609143534621
2018-07-31,0.018794732288819737
2018-08-31,0.01558545688057892
2018-09-30,0.0008994888326375847
2018-10-31,-0.03927816275645916
2018-11-30,0.019801425910877732
2018-12-31,-0.05230581760186463
2019-01-31,0.05991835017688311
2019-02-28,0.01171243212194615
2019-03-31,0.024243752665237435
2019-04-30,0.008643737607778264
2019-05-31,-0.025318394772787276
2019-06-30,0.05059588350406696
2019-07-31,0.005977544501272592
2019-08-31,0.012338940097890702
2019-09-30,0.00559466261315454
2019-10-31,0.013396393657553796
2019-11-30,0.012605420299888261
2019-12-31,0.022182125871197805
2020-01-31,0.0030091355521457766
2020-02-29,-0.05071073843934392
2020-03-31,-0.08630961123816273
2020-04-30,0.10629841688619521
2020-05-31,0.023772714730509077
2020-06-30,0.010153995858535002
2020-07-31,0.04032613103440469
2020-08-31,0.022100701941999396
2020-09-30,-0.03930834089946502
2020-10-31,-0.02575263919467821
2020-11-30,0.08381160876382432
2020-12-31,0.02982683407773985
2021-01-31,-0.006721722412007817
2021-02-28,0.019700039712629965
2021-03-31,0.023289128864545098
2021-04-30,0.03444825968725796
2021-05-31,0.01863881956983423
2021-06-30,0.017263758470770375
2021-07-31,0.015221574377419287
2021-08-31,0.011370494874026419
2021-09-30,-0.024203457266609746
2021-10-31,0.049506680298295414
2021-11-30,-0.009196487816497768
2021-12-31,0.0426419996007584
2022-01-31,-0.01886898603902167
2022-02-28,-0.003585103928017484
2022-03-31,0.029513284891919556
2022-04-30,-0.048131273968414004
2022-05-31,0.003987391026283337
2022-06-30,-0.055968929514784375
2022-07-31,0.055155684587025064
2022-08-31,-0.03231080223319442
2022-09-30,-0.07246094397891924
2022-10-31,0.0574345203460027
2022-11-30,0.04962873212489541
2022-12-31,-0.031917633789994466
2023-01-31,0.04604899002737571
2023-02-28,-0.035909192025827257
2023-03-31,0.03472849639592181
2023-04-30,0.015156320470014624
2023-05-31,-0.020917424959897866
2023-06-30,0.03392753402807255
2023-07-31,0.02210061662397137
2023-08-31,-0.014598771075271307
2023-09-30,-0.038553881269933636
2023-10-31,-0.01941115799849737
2023-11-30,0.06146091313822084
2023-12-31,0.041974730666426034
