date,spy_tlt_corr,tlt_vol
2016-07-31,,
2016-08-31,,
2016-09-30,,
2016-10-31,0.17220712336842944,0.11964899202438131
2016-11-30,0.2668870336162213,0.1045372716051139
2016-12-31,-0.019686278685462227,0.13710549054849291
2017-01-31,-0.18818786280872582,0.1360094093452951
2017-02-28,-0.23786149571903395,0.14633810641910436
2017-03-31,-0.17610812554974864,0.1113785635288441
2017-04-30,-0.4065160771587351,0.11191648956620238
2017-05-31,-0.43454912102668136,0.10281082945151696
2017-06-30,-0.4523774485138795,0.09120458130809532
2017-07-31,-0.339719397378842,0.09096663816099569
2017-08-31,-0.13521131830860636,0.08750062484882573
2017-09-30,-0.15378953688886834,0.08491273415948954
2017-10-31,-0.47402132464605473,0.09358507250191747
2017-11-30,-0.49523189833064657,0.0882098793489132
2017-12-31,-0.3484084532456485,0.0896492130203312
2018-01-31,-0.20960297671497688,0.09674930692283783
2018-02-28,-0.1032620435134495,0.10142117774495893
2018-03-31,-0.04170404386335472,0.10778010158332667
2018-04-30,-0.1806937886099772,0.09901865565940268
2018-05-31,-0.25871250931093903,0.09625417856477629
2018-06-30,-0.31989743704015394,0.09885161140775822
2018-07-31,-0.2701280676313503,0.09769906149571699
2018-08-31,-0.32938273094307485,0.09677311745780376
2018-09-30,-0.2550260797191305,0.07530298584706442
2018-10-31,-0.12289428849478322,0.07734822938496884
2018-11-30,-0.2844112990068537,0.08730251015956537
2018-12-31,-0.2626469161807133,0.0872093770625327
2019-01-31,-0.4395854681025135,0.08803402642848841
2019-02-28,-0.5546800954108909,0.08736794200568922
2019-03-31,-0.5300976992763333,0.09241016414704438
2019-04-30,-0.5324911380037944,0.09098200547702175
2019-05-31,-0.42651743978356904,0.09149782349449835
2019-06-30,-0.5465712317704812,0.09026773792653912
2019-07-31,-0.4167872283137758,0.08568615658973394
2019-08-31,-0.38599150479117667,0.09514905815959034
2019-09-30,-0.5477245548844825,0.13044298715409933
2019-10-31,-0.5811789210487618,0.1554402087027388
