label,corr_thresh,vol_thresh,base_bil,guard_bil,mode,sharpe,ann_return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active,source,guard_active_months,mod_section,mod_dd0,mod_dd3,mod_low,mod_high,mod_bull_mult,mod_crisis_mult,mod_base_target_vol,mod_bull_scale,mod_hard_sl_thresh,mod_soft_sl_thresh,guard_active,mod_stop_soft_sl_thresh,mod_stop_hard_sl_thresh,mod_s7_dd0,mod_s7_dd3,mod_s1_base_target_vol,mod_srb_bull_mult,mod_s3_high,mod_s1_bull_scale,mod_mix_base_mix,mod,score
CG_corr-0.20_vol0.16_base0.10_guard0.25_either,-0.2,0.16,0.1,0.25,either,0.8844436353807482,0.0789887458264874,0.0893089651693668,-0.1038515650189943,0.7605927345634171,False,73.0,0.6403508771929824,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.2791889965747782
CG_corr-0.20_vol0.16_base0.10_guard0.25_corr_only,-0.2,0.16,0.1,0.25,corr_only,0.9055268616724526,0.081798986192216,0.0903330311385113,-0.1041089531964882,0.7857055870865799,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.2952808436561645
CG_corr-0.20_vol0.16_base0.10_guard0.30_either,-0.2,0.16,0.1,0.3,either,0.9439534846679868,0.0809231761004978,0.0857279277155914,-0.0966944250369615,0.836895985157002,False,73.0,0.6403508771929824,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.330267647057804
CG_corr-0.20_vol0.16_base0.10_guard0.30_corr_only,-0.2,0.16,0.1,0.3,corr_only,0.9747614955943182,0.0851259833744559,0.0873300635685799,-0.0969294040176594,0.8782266252142327,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3544943363081168
CG_corr-0.20_vol0.16_base0.10_guard0.35_either,-0.2,0.16,0.1,0.35,either,0.9611876566541184,0.0793489070724731,0.0825529817441535,-0.0936208599542615,0.8475558450460626,False,73.0,0.6403508771929824,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.341659204016282
CG_corr-0.20_vol0.16_base0.10_guard0.35_corr_only,-0.2,0.16,0.1,0.35,corr_only,0.9991877791761752,0.0846929779331986,0.0847618232511085,-0.0938301516304407,0.9026200689387164,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3722635905787435
CG_corr-0.20_vol0.16_base0.10_guard0.40_either,-0.2,0.16,0.1,0.4,either,0.9915826752668768,0.078798058384636,0.0794669575720734,-0.0944708301908126,0.8340993534774629,False,73.0,0.6403508771929824,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.349614754688221
CG_corr-0.20_vol0.16_base0.10_guard0.40_corr_only,-0.2,0.16,0.1,0.4,corr_only,1.0405158315633634,0.0855047428423766,0.0821753405845893,-0.0944708301908126,0.9050914728882312,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3893080705800376
CG_corr-0.20_vol0.18_base0.05_guard0.25_either,-0.2,0.18,0.05,0.25,either,0.9000140427976466,0.0820354040504673,0.0911490267368102,-0.1040905233632063,0.7881159725195984,False,69.0,0.6052631578947368,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.2938402591808416
CG_corr-0.20_vol0.18_base0.05_guard0.25_corr_only,-0.2,0.18,0.05,0.25,corr_only,0.913787276863532,0.0841284516664516,0.092065685085059,-0.1040905233632064,0.8082239280601897,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3056286956551486
CG_corr-0.20_vol0.18_base0.05_guard0.30_either,-0.2,0.18,0.05,0.3,either,0.9642270696687576,0.0849178627737871,0.088068324822035,-0.0997925582532546,0.8509438405044359,False,69.0,0.6052631578947368,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3410667414291004
CG_corr-0.20_vol0.18_base0.05_guard0.30_corr_only,-0.2,0.18,0.05,0.3,corr_only,0.9814951738909056,0.0875451860386334,0.0891957376535854,-0.0997925582532546,0.8772716880998312,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3558559529124983
CG_corr-0.20_vol0.18_base0.05_guard0.35_either,-0.2,0.18,0.05,0.35,either,0.983327668107397,0.0839413282029718,0.0853645543855518,-0.0997925582532545,0.8411581952829059,False,69.0,0.6052631578947368,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3457773770921104
CG_corr-0.20_vol0.18_base0.05_guard0.35_corr_only,-0.2,0.18,0.05,0.35,corr_only,1.0048834954339096,0.0871298706484735,0.08670644014394,-0.0997925582532545,0.8731099009141993,False,66.0,0.5789473684210527,correlation_guard_search_full,,,,,,,,,,,,,,,,,,,,,,,,3.3639653353592207
