corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
-0.2,0.0,none,1.008835040792692,0.09979640374829099,-0.10542489208625627,False,66
-0.2,0.0,v5_mods,0.9918560383103767,0.10460818486114606,-0.11690000306397046,False,66
-0.2,0.0,s7_aggressive,1.013849024862695,0.10113556868082049,-0.10373305005698989,False,66
-0.2,0.0,stop_tight,1.059282215728872,0.10078388080659101,-0.09667747810557831,True,66
-0.2,0.0,vol_low,1.0108209975359537,0.09544548094240912,-0.10542489208625631,False,66
-0.2,0.0,s7+stop,1.1234295445456381,0.11051186935751829,-0.09614475192433705,True,66
-0.2,0.03,none,1.0130496246697973,0.09831223884408444,-0.1013547331002362,False,66
-0.2,0.03,v5_mods,0.9931466179554668,0.10266542929245416,-0.10933321946910332,False,66
-0.2,0.03,s7_aggressive,0.9999902058110264,0.09819996114216076,-0.09970866242557472,False,66
-0.2,0.03,stop_tight,1.0259777189689632,0.09660003284801172,-0.09352686393635566,False,66
-0.2,0.03,vol_low,1.0184447658076736,0.09434948738276894,-0.10135473310023618,False,66
-0.2,0.03,s7+stop,1.1082058145571634,0.10736225564388299,-0.09326372138020803,True,66
-0.2,0.05,none,1.0271467150580749,0.0984236597590618,-0.09863349833325875,False,66
-0.2,0.05,v5_mods,1.0064344575863333,0.10210372245878649,-0.10839124463302101,False,66
-0.2,0.05,s7_aggressive,1.0221984603745757,0.09864145677582939,-0.09701810732717175,False,66
-0.2,0.05,stop_tight,1.0508143215660977,0.09766300392543933,-0.08784287509548319,False,66
-0.2,0.05,vol_low,1.0375470710877683,0.09481209592306677,-0.0986334983332588,False,66
-0.2,0.05,s7+stop,1.1323743363198528,0.10789061793694378,-0.09133973281884185,True,66
-0.2,0.08,none,0.9978620046253275,0.09469619379679424,-0.09453992738282223,False,66
-0.2,0.08,v5_mods,1.005390026325131,0.09927267099043648,-0.1040625606868063,False,66
-0.2,0.08,s7_aggressive,1.0035282301097737,0.09530167800169322,-0.09297080475563203,False,66
-0.2,0.08,stop_tight,1.0539303397359214,0.09618706546379732,-0.08503794725857214,False,66
-0.2,0.08,vol_low,1.0090279597796377,0.09150889234835335,-0.09453992738282219,False,66
-0.2,0.08,s7+stop,1.1184645985534554,0.10516727850908611,-0.0846031852528449,True,66
-0.2,0.1,none,0.986077902958102,0.09268308248262103,-0.0950039695507406,False,66
-0.2,0.1,v5_mods,1.0257582697640837,0.09940510218034106,-0.10133984630948828,False,66
-0.2,0.1,s7_aggressive,1.0207718061212465,0.09596338394613624,-0.09500396955074063,False,66
-0.2,0.1,stop_tight,1.068298769485519,0.09566051951671567,-0.08316501579864354,False,66
-0.2,0.1,vol_low,1.0090382253250882,0.09032485530360612,-0.0918030525758107,False,66
-0.2,0.1,s7+stop,1.074982870462105,0.10025262976713839,-0.09180305257581069,True,66
-0.1,0.0,none,0.9619353799613967,0.09419960065729543,-0.10542489208625633,False,47
-0.1,0.0,v5_mods,0.977324209317363,0.10338732283814488,-0.11690000306397039,False,47
-0.1,0.0,s7_aggressive,0.9828381435065294,0.0985816330507705,-0.10373305005698989,False,47
-0.1,0.0,stop_tight,1.0308114699027668,0.09671887761639691,-0.09667747810557827,False,47
-0.1,0.0,vol_low,0.957890372884516,0.09053732814070133,-0.10542489208625626,False,47
-0.1,0.0,s7+stop,1.090016471321418,0.10787138194461149,-0.09614475192433687,True,47
-0.1,0.03,none,0.9680213225372608,0.09286806404942322,-0.10135473310023616,False,47
-0.1,0.03,v5_mods,0.979381625202306,0.10150055588525461,-0.10933321946910324,False,47
-0.1,0.03,s7_aggressive,0.9688575852653204,0.09559160112172749,-0.09970866242557476,False,47
