corr_thresh,base_bil,overlay_mods,exclude_set,sharpe,return,mdd,triple,guard_months
-0.25,0.0,s7+stop_base,TLT_IEF_TIP,1.1251558878800503,0.11074292552664394,-0.09614475192433705,True,71
-0.25,0.0,s7+stop_base,TLT_IEF,1.0812967914715488,0.10835580483665719,-0.101364124491692,False,71
-0.25,0.0,s7+stop_base,TLT_only,1.0520420732923856,0.10638950541585881,-0.11181207836783415,False,71
-0.25,0.0,s7+stop_tighter,TLT_IEF_TIP,1.0573696449119943,0.10395354979010726,-0.09667747810557822,True,71
-0.25,0.0,s7+stop_tighter,TLT_IEF,1.0122386065447397,0.10075560875735948,-0.11346895708673396,False,71
-0.25,0.0,s7+stop_tighter,TLT_only,0.9906664827758517,0.09973254562506961,-0.12067584380033027,False,71
-0.25,0.0,s7+stop_wider,TLT_IEF_TIP,0.9914463589621955,0.10135199581490728,-0.10542489208625623,False,71
-0.25,0.0,s7+stop_wider,TLT_IEF,0.9473955579605684,0.09798723681912415,-0.11348906641640469,False,71
-0.25,0.0,s7+stop_wider,TLT_only,0.9133428826758623,0.09556015536626425,-0.12436863763662834,False,71
-0.25,0.0,s7_higher+stop,TLT_IEF_TIP,1.1300113720960931,0.11201404593245262,-0.09614475192433712,True,71
-0.25,0.0,s7_higher+stop,TLT_IEF,1.096288777684609,0.11043878727885836,-0.10206854882870148,False,71
-0.25,0.0,s7_higher+stop,TLT_only,1.0679013660739736,0.10879703576384048,-0.11217732297587815,False,71
-0.25,0.0,s7_lower+stop,TLT_IEF_TIP,1.1053526221584649,0.10898031827506358,-0.0961447519243371,True,71
-0.25,0.0,s7_lower+stop,TLT_IEF,1.070129016647573,0.1064828253028467,-0.10581582096991582,False,71
-0.25,0.0,s7_lower+stop,TLT_only,1.075608420223444,0.107406069814727,-0.11647883013197433,False,71
-0.25,0.0,s7+stop+vol,TLT_IEF_TIP,1.1448644250583038,0.11161926677614799,-0.09614475192433705,True,71
-0.25,0.0,s7+stop+vol,TLT_IEF,1.1026368919512104,0.10864121994612091,-0.10318398342893471,False,71
-0.25,0.0,s7+stop+vol,TLT_only,1.077747958389732,0.10743690139939963,-0.11140185349087742,False,71
-0.25,0.0,s7+stop+vol08,TLT_IEF_TIP,1.1128259169700536,0.1090720282467606,-0.09394136464868902,True,71
-0.25,0.0,s7+stop+vol08,TLT_IEF,1.0560309658936637,0.10429825092457654,-0.1082556228873436,False,71
-0.25,0.0,s7+stop+vol08,TLT_only,1.0375030447178972,0.1028990560501411,-0.1105634616615556,False,71
-0.25,0.0,s7_high+stop_tight,TLT_IEF_TIP,1.0480679153587789,0.1040705028573147,-0.09667747810557824,True,71
-0.25,0.0,s7_high+stop_tight,TLT_IEF,1.0021623037192027,0.10081547641990546,-0.1215202321997113,False,71
-0.25,0.0,s7_high+stop_tight,TLT_only,0.995603757188783,0.10105391512769893,-0.122043173636888,False,71
-0.25,0.02,s7+stop_base,TLT_IEF_TIP,1.116991039895875,0.10860297720091647,-0.09422472504366744,True,71
-0.25,0.02,s7+stop_base,TLT_IEF,1.0727312631096333,0.10625660993415795,-0.10069494810350754,False,71
-0.25,0.02,s7+stop_base,TLT_only,1.0442320293369667,0.10439365977729581,-0.11116224888531594,False,71
-0.25,0.02,s7+stop_tighter,TLT_IEF_TIP,1.0580426353409398,0.10258170261710867,-0.09457795161751137,True,71
-0.25,0.02,s7+stop_tighter,TLT_IEF,1.0181607303304516,0.10003477480685743,-0.1127276969548389,False,71
-0.25,0.02,s7+stop_tighter,TLT_only,0.9907970905879456,0.09843805492632768,-0.11993774684238896,False,71
-0.25,0.02,s7+stop_wider,TLT_IEF_TIP,1.0077700165886292,0.10146751089011528,-0.10271301057005287,False,71
-0.25,0.02,s7+stop_wider,TLT_IEF,0.9627491028992214,0.09813788064830493,-0.11240138170711275,False,71
-0.25,0.02,s7+stop_wider,TLT_only,0.9280671150262361,0.09576453250522368,-0.1233097872167516,False,71
-0.25,0.02,s7_higher+stop,TLT_IEF_TIP,1.1246719875537992,0.1100437963675346,-0.09422472504366751,True,71
-0.25,0.02,s7_higher+stop,TLT_IEF,1.0891593915516566,0.10836743489368644,-0.10140162943553542,False,71
-0.25,0.02,s7_higher+stop,TLT_only,1.0625448778812334,0.10695393867956624,-0.11152965189515095,False,71
-0.25,0.02,s7_lower+stop,TLT_IEF_TIP,1.093646504514611,0.10648840594164209,-0.09422472504366738,True,71
-0.25,0.02,s7_lower+stop,TLT_IEF,1.0604133970051075,0.1043498926051514,-0.10649385405662491,False,71
-0.25,0.02,s7_lower+stop,TLT_only,1.033512800533703,0.10295114096427613,-0.1170120987215752,False,71
-0.25,0.02,s7+stop+vol,TLT_IEF_TIP,1.1372646066476833,0.10952944723373653,-0.09422472504366745,True,71
-0.25,0.02,s7+stop+vol,TLT_IEF,1.0953711411857179,0.10666417744045453,-0.1036889624843679,False,71
-0.25,0.02,s7+stop+vol,TLT_only,1.0703261879593047,0.105461747736296,-0.11148388565675747,False,71
-0.25,0.02,s7+stop+vol08,TLT_IEF_TIP,1.0854374293667217,0.10579162120001798,-0.09141811550857153,True,71
-0.25,0.02,s7+stop+vol08,TLT_IEF,1.0285722976329228,0.1010967098294536,-0.10825562288734342,False,71
-0.25,0.02,s7+stop+vol08,TLT_only,1.0101482788524885,0.09974248054497753,-0.1105634616615557,False,71
-0.25,0.02,s7_high+stop_tight,TLT_IEF_TIP,1.0500136504880746,0.10278457067354539,-0.09457795161751127,True,71
-0.25,0.02,s7_high+stop_tight,TLT_IEF,1.0050852477805636,0.09973118258946925,-0.12077721106923424,False,71
-0.25,0.02,s7_high+stop_tight,TLT_only,0.996866664246368,0.09982790413600828,-0.12130007762628725,False,71
-0.25,0.04,s7+stop_base,TLT_IEF_TIP,1.1263092670463617,0.10829794926247024,-0.09230205735775857,True,71
-0.25,0.04,s7+stop_base,TLT_IEF,1.084582115935805,0.10628678925621235,-0.0978658783062455,True,71
-0.25,0.04,s7+stop_base,TLT_only,1.053075644383948,0.10416849277167911,-0.1105101514655788,False,71
-0.25,0.04,s7+stop_tighter,TLT_IEF_TIP,1.0526456323504194,0.1008877938444745,-0.09247489266905846,True,71
-0.25,0.04,s7+stop_tighter,TLT_IEF,1.0135981332328265,0.0984579912965445,-0.11198373068164562,False,71
-0.25,0.04,s7+stop_tighter,TLT_only,0.9976721973315913,0.09805844209043485,-0.11919662872897882,False,71
-0.25,0.04,s7+stop_wider,TLT_IEF_TIP,1.025167423545576,0.10142386686228941,-0.0999948961151182,True,71
-0.25,0.04,s7+stop_wider,TLT_IEF,0.9735015272097778,0.09764267228870699,-0.1113092338756145,False,71
-0.25,0.04,s7+stop_wider,TLT_only,0.9399274385197607,0.09544672932334922,-0.12224737584560219,False,71
-0.25,0.04,s7_higher+stop,TLT_IEF_TIP,1.1268358159031886,0.10922638571423274,-0.09230205735775876,True,71
-0.25,0.04,s7_higher+stop,TLT_IEF,1.0938655642136497,0.10779783269567389,-0.10073207455224535,False,71
-0.25,0.04,s7_higher+stop,TLT_only,1.0674428833778002,0.10639283923021317,-0.1108798484410262,False,71
-0.25,0.04,s7_lower+stop,TLT_IEF_TIP,1.0893359544715426,0.10523229237201878,-0.09230205735775873,True,71
-0.25,0.04,s7_lower+stop,TLT_IEF,1.0529580615630254,0.10292523692196179,-0.10724429412754612,False,71
-0.25,0.04,s7_lower+stop,TLT_only,1.0259729976398835,0.10153220266056612,-0.11698588933235204,False,71
-0.25,0.04,s7+stop+vol,TLT_IEF_TIP,1.1143045973112844,0.10705923771588281,-0.09230205735775873,True,71
-0.25,0.04,s7+stop+vol,TLT_IEF,1.1041309571410776,0.10632199738171023,-0.10345520133152736,False,71
-0.25,0.04,s7+stop+vol,TLT_only,1.0803610708798008,0.10531597656251764,-0.11119186206540814,False,71
-0.25,0.04,s7+stop+vol08,TLT_IEF_TIP,1.099602442046,0.10544152825850345,-0.0916599163486145,True,71
-0.25,0.04,s7+stop+vol08,TLT_IEF,1.0409042538377369,0.10069766980891127,-0.10841068688046372,False,71
-0.25,0.04,s7+stop+vol08,TLT_only,1.0236131618403503,0.09949570104600189,-0.11015262510934563,False,71
-0.25,0.04,s7_high+stop_tight,TLT_IEF_TIP,1.0460147125537549,0.10121355853414352,-0.09247489266905846,True,71
-0.25,0.04,s7_high+stop_tight,TLT_IEF,1.0048571890971427,0.09852912643761512,-0.12003135385501247,False,71
-0.25,0.04,s7_high+stop_tight,TLT_only,1.0006769609314732,0.09898037166488505,-0.12055357526082364,False,71
-0.25,0.05,s7+stop_base,TLT_IEF_TIP,1.135209473787683,0.1083340132033481,-0.09133973281884185,True,71
-0.25,0.05,s7+stop_base,TLT_IEF,1.0926256280520894,0.10630866538753558,-0.09751075560478026,True,71
-0.25,0.05,s7+stop_base,TLT_only,1.060159520886681,0.10415060949396752,-0.11018323070883367,False,71
-0.25,0.05,s7+stop_tighter,TLT_IEF_TIP,1.083752255159476,0.1032054261256842,-0.08784287509548329,True,71
-0.25,0.05,s7+stop_tighter,TLT_IEF,1.0436048157297941,0.1007656811066193,-0.11161069523391984,False,71
-0.25,0.05,s7+stop_tighter,TLT_only,1.0265530788060095,0.10031297815929108,-0.11882489085288522,False,71
-0.25,0.05,s7+stop_wider,TLT_IEF_TIP,1.0296659413974854,0.101024882428835,-0.09863349833325871,True,71
-0.25,0.05,s7+stop_wider,TLT_IEF,0.9779067181634695,0.09731446484761026,-0.11076141451155663,False,71
-0.25,0.05,s7+stop_wider,TLT_only,0.9442274472839524,0.0951158842762242,-0.12171478539814384,False,71
-0.25,0.05,s7_higher+stop,TLT_IEF_TIP,1.1361288647249388,0.10930573277642464,-0.09133973281884177,True,71
-0.25,0.05,s7_higher+stop,TLT_IEF,1.1021209136178962,0.10784723275646088,-0.1003962805546287,False,71
-0.25,0.05,s7_higher+stop,TLT_only,1.0751545875516517,0.1064042198975775,-0.11055412872653553,False,71
-0.25,0.05,s7_lower+stop,TLT_IEF_TIP,1.110065498131737,0.10617528208190992,-0.09133973281884199,True,71
-0.25,0.05,s7_lower+stop,TLT_IEF,1.0777840596794763,0.10418491322667262,-0.10174698789211879,False,71
-0.25,0.05,s7_lower+stop,TLT_only,1.0545736485665533,0.10311910463365107,-0.10950859426222125,False,71
-0.25,0.05,s7+stop+vol,TLT_IEF_TIP,1.1210898342583344,0.10696872627934467,-0.09133973281884196,True,71
-0.25,0.05,s7+stop+vol,TLT_IEF,1.0804906783308925,0.10425824960499216,-0.10333672598979765,False,71
-0.25,0.05,s7+stop+vol,TLT_only,1.0877905437370767,0.10531419444635348,-0.1110455131364365,False,71
-0.25,0.05,s7+stop+vol08,TLT_IEF_TIP,1.0994684805704396,0.10464656119380691,-0.09101656848263333,True,71
-0.25,0.05,s7+stop+vol08,TLT_IEF,1.045915654248259,0.10050882767093086,-0.10851140100639015,False,71
-0.25,0.05,s7+stop+vol08,TLT_only,1.0162669936714654,0.09856553167409082,-0.1180452654463955,False,71
-0.25,0.05,s7_high+stop_tight,TLT_IEF_TIP,1.0785637742804814,0.10360791097576136,-0.08811706219105934,True,71
-0.25,0.05,s7_high+stop_tight,TLT_IEF,1.0359013262755137,0.10087123730658956,-0.1196573289312327,False,71
-0.25,0.05,s7_high+stop_tight,TLT_only,1.0372748843477217,0.10192320641997893,-0.12017899135569565,False,71
-0.25,0.06,s7+stop_base,TLT_IEF_TIP,1.1338919489197279,0.10766086904719682,-0.09037674760614506,True,71
-0.25,0.06,s7+stop_base,TLT_IEF,1.0899027090936764,0.10552117323397836,-0.09715463451670807,True,71
-0.25,0.06,s7+stop_base,TLT_only,1.056264666760502,0.10326672063146475,-0.1098557169818642,False,71
-0.25,0.06,s7+stop_tighter,TLT_IEF_TIP,1.0964973392084316,0.10347343147634876,-0.0869084949433059,True,71
-0.25,0.06,s7+stop_tighter,TLT_IEF,1.0552929672380527,0.10101532194651067,-0.11123693742821798,False,71
-0.25,0.06,s7+stop_tighter,TLT_only,1.0368519902314854,0.10045766228208805,-0.11845234153447091,False,71
-0.25,0.06,s7+stop_wider,TLT_IEF_TIP,1.04027271886529,0.10107970799514407,-0.09727053847254775,True,71
-0.25,0.06,s7+stop_wider,TLT_IEF,0.987755048937969,0.09734941156683516,-0.11021239111297644,False,71
-0.25,0.06,s7+stop_wider,TLT_only,0.9530527245502186,0.09508431483192287,-0.12118124425117688,False,71
-0.25,0.06,s7_higher+stop,TLT_IEF_TIP,1.1355916474496424,0.10869905532113143,-0.090376747606145,True,71
-0.25,0.06,s7_higher+stop,TLT_IEF,1.0999002941774048,0.10708324668422783,-0.10005979346288854,False,71
-0.25,0.06,s7_higher+stop,TLT_only,1.071808730945041,0.10551694338180981,-0.11022785390069341,False,71
-0.25,0.06,s7_lower+stop,TLT_IEF_TIP,1.1079193252372468,0.1054118140490059,-0.090376747606145,True,71
-0.25,0.06,s7_lower+stop,TLT_IEF,1.074364091848542,0.1033630118617816,-0.1016288898439404,False,71
-0.25,0.06,s7_lower+stop,TLT_only,1.0500763639959088,0.10222557927957907,-0.10936008310199086,False,71
-0.25,0.06,s7+stop+vol,TLT_IEF_TIP,1.1322152322427137,0.10703606141544143,-0.09037674760614514,True,71
-0.25,0.06,s7+stop+vol,TLT_IEF,1.0895177576211441,0.10504164566219695,-0.09761375238307345,True,71
-0.25,0.06,s7+stop+vol,TLT_only,1.085242276820499,0.10453395220431275,-0.11028220076429812,False,71
-0.25,0.06,s7+stop+vol08,TLT_IEF_TIP,1.1397511009811694,0.10695454042253125,-0.0903731970277952,True,71
-0.25,0.06,s7+stop+vol08,TLT_IEF,1.0901154301962164,0.10337139168014067,-0.10828853196665171,False,71
-0.25,0.06,s7+stop+vol08,TLT_only,1.0126862686699105,0.09777971075958859,-0.11782080585977564,False,71
-0.25,0.06,s7_high+stop_tight,TLT_IEF_TIP,1.0909418619767046,0.10382549149603237,-0.08690849494330588,True,71
-0.25,0.06,s7_high+stop_tight,TLT_IEF,1.047531788227261,0.10109613933595582,-0.11928255526724461,False,71
-0.25,0.06,s7_high+stop_tight,TLT_only,1.0477896773334665,0.10201702455067571,-0.11980348801669163,False,71
-0.25,0.08,s7+stop_base,TLT_IEF_TIP,1.1241079030478487,0.10591332264175518,-0.0846031852528449,True,71
-0.25,0.08,s7+stop_base,TLT_IEF,1.0795373171800584,0.10374750853122411,-0.09643932307586388,True,71
-0.25,0.08,s7+stop_base,TLT_only,1.0444338443793615,0.10137328765159113,-0.10919887558101676,False,71
-0.25,0.08,s7+stop_tighter,TLT_IEF_TIP,1.0948648571629034,0.10190425498654841,-0.0850379472585722,True,71
-0.25,0.08,s7+stop_tighter,TLT_IEF,1.051898096658502,0.09937838453496745,-0.11048718974438304,False,71
-0.25,0.08,s7+stop_tighter,TLT_only,1.0310036379150493,0.09859300974395424,-0.11770472845171734,False,71
-0.25,0.08,s7+stop_wider,TLT_IEF_TIP,1.0455567723915309,0.09998390709096569,-0.09453992738282213,False,71
-0.25,0.08,s7+stop_wider,TLT_IEF,0.9932399418444979,0.09635952628695944,-0.10911060422100559,False,71
-0.25,0.08,s7+stop_wider,TLT_only,0.9562916756921995,0.09394526268823872,-0.12011122362714208,False,71
-0.25,0.08,s7_higher+stop,TLT_IEF_TIP,1.1238388793269578,0.10668315155457336,-0.08460318525284476,True,71
-0.25,0.08,s7_higher+stop,TLT_IEF,1.0914467374040242,0.10545100988591699,-0.09642651882055288,True,71
-0.25,0.08,s7_higher+stop,TLT_only,1.0584368363771317,0.10330402646592499,-0.10957360965399472,False,71
-0.25,0.08,s7_lower+stop,TLT_IEF_TIP,1.097262891982981,0.10351005211631484,-0.08460318525284484,True,71
-0.25,0.08,s7_lower+stop,TLT_IEF,1.0514437372160428,0.10071904035435314,-0.1082187679725223,False,71
-0.25,0.08,s7_lower+stop,TLT_only,1.0380318246553697,0.10022388050754813,-0.10905057035364767,False,71
-0.25,0.08,s7+stop+vol,TLT_IEF_TIP,1.123585062769648,0.1053410111827546,-0.08381733429843428,True,71
-0.25,0.08,s7+stop+vol,TLT_IEF,1.0798336800978625,0.10326556291903341,-0.09691276400830663,True,71
-0.25,0.08,s7+stop+vol,TLT_only,1.044781226657601,0.10067645069035455,-0.10963415762636662,False,71
-0.25,0.08,s7+stop+vol08,TLT_IEF_TIP,1.1304573375143903,0.10519879256727913,-0.08381733429843417,True,71
-0.25,0.08,s7+stop+vol08,TLT_IEF,1.0811164283904013,0.10170975360015852,-0.10783880156826905,False,71
-0.25,0.08,s7+stop+vol08,TLT_only,1.0014978799064749,0.09592504451879652,-0.11737107452189177,False,71
-0.25,0.08,s7_high+stop_tight,TLT_IEF_TIP,1.0877541165576698,0.10207194486691792,-0.0850379472585721,True,71
-0.25,0.08,s7_high+stop_tight,TLT_IEF,1.0442809426037964,0.09944421255597047,-0.11853070706337399,False,71
-0.25,0.08,s7_high+stop_tight,TLT_only,1.049413782264738,0.10079868940414634,-0.11904962562014912,False,71
-0.22,0.0,s7+stop_base,TLT_IEF_TIP,1.1243194760228914,0.11061879947665004,-0.09614475192433705,True,69
-0.22,0.0,s7+stop_base,TLT_IEF,1.0803149815813855,0.10821090099602632,-0.10136412449169217,False,69
-0.22,0.0,s7+stop_base,TLT_only,1.051278975479736,0.1062777146115155,-0.11181207836783419,False,69
-0.22,0.0,s7+stop_tighter,TLT_IEF_TIP,1.0565934557192271,0.10383639877116499,-0.09667747810557822,True,69
-0.22,0.0,s7+stop_tighter,TLT_IEF,1.0113226930525108,0.10061885295392525,-0.11346895708673387,False,69
-0.22,0.0,s7+stop_tighter,TLT_only,0.9899557226577003,0.09962703127737349,-0.12067584380033015,False,69
-0.22,0.0,s7+stop_wider,TLT_IEF_TIP,0.9906455538209284,0.10123315941194275,-0.10542489208625623,False,69
-0.22,0.0,s7+stop_wider,TLT_IEF,0.946452881474079,0.0978484961594,-0.11348906641640474,False,69
-0.22,0.0,s7+stop_wider,TLT_only,0.9126102836080631,0.09545313400949923,-0.12436863763662827,False,69
-0.22,0.0,s7_higher+stop,TLT_IEF_TIP,1.1294617504568831,0.11192694742623441,-0.09614475192433712,True,69
-0.22,0.0,s7_higher+stop,TLT_IEF,1.095642395500503,0.1103370970129249,-0.10206854882870141,False,69
-0.22,0.0,s7_higher+stop,TLT_only,1.0673984071158358,0.10871859838372508,-0.11217732297587807,False,69
-0.22,0.0,s7_lower+stop,TLT_IEF_TIP,1.1044111529669898,0.10884061483671703,-0.0961447519243371,True,69
-0.22,0.0,s7_lower+stop,TLT_IEF,1.0690093159317549,0.10631871870022835,-0.10579033863060865,False,69
-0.22,0.0,s7_lower+stop,TLT_only,1.0747336489757295,0.1072785894794007,-0.11646246090154748,False,69
-0.22,0.0,s7+stop+vol,TLT_IEF_TIP,1.144112649226475,0.11150224542455521,-0.09614475192433705,True,69
-0.22,0.0,s7+stop+vol,TLT_IEF,1.1017493230599897,0.10850459381003613,-0.10318398342893494,False,69
-0.22,0.0,s7+stop+vol,TLT_only,1.0770578592570947,0.10733151671905297,-0.11140185349087756,False,69
-0.22,0.0,s7+stop+vol08,TLT_IEF_TIP,1.11206622755206,0.10895500689516784,-0.09394136464868902,True,69
-0.22,0.0,s7+stop+vol08,TLT_IEF,1.0551287067923432,0.10416162478849178,-0.1082556228873435,False,69
-0.22,0.0,s7+stop+vol08,TLT_only,1.0368016837489331,0.10279367136979445,-0.11056346166155566,False,69
-0.22,0.0,s7_high+stop_tight,TLT_IEF_TIP,1.0475010607494017,0.10398340435109651,-0.09667747810557824,True,69
-0.22,0.0,s7_high+stop_tight,TLT_IEF,1.001492384411528,0.100713786153972,-0.12152023219971139,False,69
-0.22,0.0,s7_high+stop_tight,TLT_only,0.9950866338404208,0.10097547774758356,-0.12204317363688791,False,69
-0.22,0.02,s7+stop_base,TLT_IEF_TIP,1.1171205657741061,0.10852619741504327,-0.09422472504366744,True,69
-0.22,0.02,s7+stop_base,TLT_IEF,1.0726631653862098,0.10615865974041458,-0.10069494810350765,False,69
-0.22,0.02,s7+stop_base,TLT_only,1.04436639653992,0.10432944909321837,-0.11116224888531598,False,69
-0.22,0.02,s7+stop_tighter,TLT_IEF_TIP,1.0565622406443638,0.10236863876444247,-0.09457795161751137,True,69
-0.22,0.02,s7+stop_tighter,TLT_IEF,1.0165385009295445,0.09980210616969926,-0.11272769695483892,False,69
-0.22,0.02,s7+stop_tighter,TLT_only,0.9893776140349492,0.09823662774490763,-0.11993774684238902,False,69
-0.22,0.02,s7+stop_wider,TLT_IEF_TIP,1.0063815519735269,0.10126274261204768,-0.10271301057005287,False,69
-0.22,0.02,s7+stop_wider,TLT_IEF,0.9612124965329687,0.09791320803441525,-0.11240138170711264,False,69
-0.22,0.02,s7+stop_wider,TLT_only,0.9267374285311555,0.09557157933045513,-0.12330978721675159,False,69
-0.22,0.02,s7_higher+stop,TLT_IEF_TIP,1.1235569642997982,0.10986935068560372,-0.09422472504366751,True,69
-0.22,0.02,s7_higher+stop,TLT_IEF,1.087941561478566,0.10817839745204025,-0.1014016294355353,False,69
-0.22,0.02,s7_higher+stop,TLT_only,1.0614682156724906,0.10678815412373815,-0.11152965189515081,False,69
-0.22,0.02,s7_lower+stop,TLT_IEF_TIP,1.092087504965247,0.10626036721624198,-0.09422472504366738,True,69
-0.22,0.02,s7_lower+stop,TLT_IEF,1.0586672486538173,0.10409704473612355,-0.10645371844668149,False,69
-0.22,0.02,s7_lower+stop,TLT_only,1.0319971116297233,0.10273423851187224,-0.11698358166592615,False,69
-0.22,0.02,s7+stop+vol,TLT_IEF_TIP,1.135950337508426,0.10932758997470704,-0.09422472504366745,True,69
-0.22,0.02,s7+stop+vol,TLT_IEF,1.0939132966201057,0.10644271539693309,-0.10368896248436804,False,69
-0.22,0.02,s7+stop+vol,TLT_only,1.0690639102660635,0.10527152714851264,-0.11148388565675726,False,69
-0.22,0.02,s7+stop+vol08,TLT_IEF_TIP,1.084101983038166,0.10558976394098854,-0.09141811550857153,True,69
-0.22,0.02,s7+stop+vol08,TLT_IEF,1.027082535399865,0.10087524778593215,-0.10825562288734364,False,69
-0.22,0.02,s7+stop+vol08,TLT_only,1.0088592503799982,0.09955225995719419,-0.11056346166155569,False,69
-0.22,0.02,s7_high+stop_tight,TLT_IEF_TIP,1.0488661292335937,0.10261012499161451,-0.09457795161751127,True,69
-0.22,0.02,s7_high+stop_tight,TLT_IEF,1.0038269444438466,0.09954214514782309,-0.12077721106923389,False,69
-0.22,0.02,s7_high+stop_tight,TLT_only,0.9957616038753588,0.09966211958018018,-0.12130007762628714,False,69
-0.22,0.04,s7+stop_base,TLT_IEF_TIP,1.1256739295463796,0.10811809454350554,-0.09230205735775857,True,69
-0.22,0.04,s7+stop_base,TLT_IEF,1.08375005795166,0.1060857682375664,-0.09786587830624562,True,69
-0.22,0.04,s7+stop_base,TLT_only,1.0524421001167947,0.10400120474338967,-0.11051015146557883,False,69
-0.22,0.04,s7+stop_tighter,TLT_IEF_TIP,1.0504447220635809,0.10057902718523912,-0.09247489266905846,True,69
-0.22,0.04,s7+stop_tighter,TLT_IEF,1.0112351187037247,0.09812816629112239,-0.11198373068164567,False,69
-0.22,0.04,s7+stop_tighter,TLT_only,0.9955460175941216,0.09776217816351324,-0.11919662872897904,False,69
-0.22,0.04,s7+stop_wider,TLT_IEF_TIP,1.0232059462597713,0.10113534511361197,-0.0999948961151182,True,69
-0.22,0.04,s7+stop_wider,TLT_IEF,0.971380939377476,0.0973342462212816,-0.11130923387561455,False,69
-0.22,0.04,s7+stop_wider,TLT_only,0.9380109399097561,0.09517002267798368,-0.12224737584560218,False,69
-0.22,0.04,s7_higher+stop,TLT_IEF_TIP,1.125146996143314,0.10896459285658938,-0.09230205735775876,True,69
-0.22,0.04,s7_higher+stop,TLT_IEF,1.0920701693330672,0.10752144807831523,-0.10073207455224537,False,69
-0.22,0.04,s7_higher+stop,TLT_only,1.065874073209933,0.10615354261901483,-0.1108798484410264,False,69
-0.22,0.04,s7_lower+stop,TLT_IEF_TIP,1.0871586593683669,0.10491655315623258,-0.09230205735775873,True,69
